tick,theta1_rad,theta2_rad,x,y,ds2_total,target_term,obs_term,reg_term,grad_norm,C,S,ds2_CS,d_obs,delta_theta1,delta_theta2,delta_theta_sq
0,-1.4,1.2,1.0350303486673345,-1.0657071547051693,1.9603710182737106,1.8923710182737106,0.0,0.06799999999999999,4.03993395837073,2,0,-4,1.2442365429420743,0.3881658456591368,0.29043180309822114,0.23502335598715673
1,-1.011834154340863,1.490431803098221,1.276153410879056,-0.3485439817625371,0.4913125445804665,0.42640863826892045,0.0,0.06490390631154608,1.9440670872133514,2,0,-4,0.8114031911563897,0.19712051627173885,0.12476704915483289,0.05442331449004135
2,-0.8147136380691242,1.615198852253054,1.2441917828128957,-0.00885159337298802,0.1627947332847239,0.09734222039721568,0.0,0.06545251288750822,0.8858101421692616,2,0,-4,0.6533235970202632,0.09604169271668082,0.04555317348859036,0.011299098354766954
3,-0.7186719453524434,1.6607520257416444,1.2067089563861078,0.13535775656691829,0.09264381153930165,0.027152078418468832,0.0,0.06549173312083281,0.44378591665358125,2,0,-4,0.607738371923779,0.05134963630621902,0.014115111924029778,0.0028360215334088537
4,-0.6673223090462244,1.674867137665674,1.187477906441504,0.20397469796709755,0.07438764131726172,0.009377661457597865,0.0,0.06500997985966386,0.2497182427705732,1,1,0,0.5966079352256737,0.029956843332686067,0.0007483506289117758,0.0008979724911228902
5,-0.6373654657135382,1.675615488294586,1.1802554762463178,0.23979312955776177,0.06829315349664696,0.004014713466708178,0.0,0.06427844002993878,0.16378661097240282,2,0,-4,0.5968572164139379,0.01897732721252447,-0.005114316035977974,0.0003862951766470832
6,-0.6183881385010138,1.670501172258608,1.1794958919784484,0.2598751132073349,0.0654899861130063,0.002030424985883643,0.0,0.06345956112712266,0.12569991306944023,2,0,-4,0.6011451909838053,0.013047934683540693,-0.007568232408669105,0.00022752674129757354
7,-0.6053402038174731,1.662932939849939,1.1819512874467564,0.2719208250245466,0.06374985058804657,0.0011141960921317393,0.0,0.06263565449591482,0.10688869197383855,2,0,-4,0.6068146925034512,0.009692928067420904,-0.008400590281334356,0.0001645227715950452
8,-0.5956472757500522,1.6545323495686046,1.1858669202910983,0.27968868584479334,0.06245775288231899,0.0006122934247696656,0.0,0.06184545945754932,0.09524316312041492,2,0,-4,0.6128034530842699,0.007691183661258847,-0.008454101941294843,0.00013062614574502028
9,-0.5879560920887933,1.6460782476273097,1.1903269141866264,0.2850969809771157,0.06142098783587176,0.0003156685651493392,0.0,0.061105319270722415,0.08640024017002856,2,0,-4,0.6186653036820049,0.00641779654205398,-0.008142966852782594,0.00010749602162071608
10,-0.5815382955467393,1.637935280774527,1.194867584403492,0.2891505562644068,0.06056442758309379,0.00014405211922708148,0.0,0.060420375463866714,0.07890613699497766,2,0,-4,0.6242158087626267,0.005546489691526617,-0.007674204966024792,8.96569697587706e-05
11,-0.5759918058552127,1.6302610758085023,1.1992641947418923,0.29238546622832096,0.05984887724811079,5.852253393789943e-05,0.0,0.05979035471417289,0.07226305834586728,2,0,-4,0.6293883878143424,0.004904768415764829,-0.0071511762004085825,7.519607426157436e-05
12,-0.5710870374394479,1.6231098996080937,1.2034163079533644,0.2950929541942372,0.0592482732693153,3.5750258572075374e-05,0.0,0.05921252301074323,0.06627417075228972,2,0,-4,0.6341707195072194,0.004400421144411273,-0.0066245694169531355,6.324862620821262e-05
13,-0.5666866162950366,1.6164853301911406,1.2072869969168485,0.29743515287509376,0.058742849641061884,5.967876484029978e-05,0.0,0.05868317087622158,0.0608392269797942,2,0,-4,0.6385750826763412,0.0039834355082022654,-0.006118216057052724,5.330032616878441e-05
14,-0.5627031807868343,1.6103671141340878,1.2108709545842695,0.2995055662801889,0.05831676435731996,0.00011842211827653775,0.0,0.058198342239043424,0.05589192341287018,2,0,-4,0.6426241468630599,0.0036260809091498147,-0.005642322174466586,4.4984262280178094e-05
15,-0.5590770998776845,1.6047247919596213,1.2141779384168292,0.30136085500034643,0.05795704309483321,0.00020286586408337028,0.0,0.05775417723074984,0.05138040951063678,2,0,-4,0.6463441296742912,0.0033124554053248164,-0.005200275812017761,3.801522933332258e-05
16,-0.5557646444723597,1.5995245161476035,1.2172242825824124,0.30303758921311913,0.05765296321476073,0.00030590285870645597,0.0,0.057347060356054275,0.04726085825292505,2,0,-4,0.6497615544512072,0.0030329929460227133,-0.004792142672932508,3.2163677608364266e-05
17,-0.5527316515263371,1.594732373474671,1.220028622094182,0.30456110760411664,0.057395621837711686,0.0004219494055678903,0.0,0.056973672432143796,0.04349503891178484,2,0,-4,0.6529017835480563,0.002781573728121933,-0.004416450237252131,2.724218510310255e-05
18,-0.5499500777982151,1.5903159232374189,1.2226097982636053,0.30595022956807316,0.05717760468488864,0.0005466082094337023,0.0,0.056630996475454935,0.04004916714361925,2,0,-4,0.6557884246866434,0.0025539997328059417,-0.004071088395620011,2.3096675360124738e-05
19,-0.5473960780654092,1.5862448348417988,1.2249858830441462,0.3072197890008589,0.056992722551586224,0.00067641970471268,0.0,0.05631630284687354,0.03689320359238915,2,0,-4,0.6584431600055025,0.0023471855216451332,-0.0037537557344392977,1.959996198685645e-05
